Date,Stock_Price,RV,IV,RV_Long_Term,Volume,PE,Trend,DtE,DtD,HML,SMB,MKR,MK_IV,RFR,INFL
2011-01-13,10.555807113647461,12.196029715048692,23.94892413333647,26.643635749905265,296780400.0,16.493448615074158,35.45161290322581,3,55,-0.0034999999999999996,0.0015,1.7853821114770607,16.389999389648438,0.0026,2.37
2011-01-14,10.64130973815918,12.218722411957438,32.78980000000001,26.58317420725792,308840000.0,16.62704199552536,35.32258064516129,2,55,0.0059,0.0002,1.8326917469214323,15.460000038146973,0.0027,2.35
2011-01-18,10.402209281921387,20.400021318936748,29.49596810933257,26.374810666853065,1880998000.0,16.253450512886047,34.806451612903224,0,55,-0.0052,0.0009,-0.24892252476558863,15.869999885559082,0.0026,2.4
2011-01-24,10.304492950439453,35.89794313411489,26.202136218665125,25.93623997038626,574683200.0,13.785276125904707,34.03225806451613,62,55,-0.0029,0.003,-1.5642020797077425,17.649999618530273,0.0028000000000000004,2.25
2011-01-25,10.42510986328125,34.32728434970689,23.224167824469223,25.926193422962086,546868000.0,13.946632716966711,33.903225806451616,61,55,0.0011,0.0001,0.158209126106929,17.59000015258789,0.0027,2.24
2011-01-26,10.499924659729004,34.149112694976836,23.0001527678798,25.920796904806416,506875600.0,14.046723228633203,33.774193548387096,60,55,-0.0022,0.013999999999999999,0.7876815925412481,16.639999389648438,0.0027,2.29
2011-01-27,10.48038101196289,29.344246346185894,20.325111143792675,25.54135945534505,285026000.0,14.020579156269596,33.645161290322584,59,55,0.0034999999999999996,-0.001,1.6101256530522519,16.149999618530273,0.0025,2.26
2011-01-28,10.263267517089844,30.86554693554593,33.74939999999999,25.34456239250923,592057200.0,13.73012249286358,33.516129032258064,58,55,-0.0003,-0.0086,1.4689642437301433,20.040000915527344,0.0024,2.27
2011-01-31,10.361597061157227,21.194900102069614,21.75150633337762,25.328555128825613,377246800.0,13.86166958505892,33.12903225806451,57,55,-0.0028000000000000004,0.0001,0.29660404151212005,19.530000686645508,0.0026,2.34
2011-02-01,10.53596019744873,23.002362097200287,19.864448512426016,25.367465762220792,426633200.0,14.094922375120845,33.0,56,55,0.0052,0.004699999999999999,0.5547618952931206,17.6299991607666,0.0027,2.37
2011-02-02,10.514276504516602,22.658935499105546,20.27680812296813,25.32739501734646,258955200.0,14.065926848446644,33.32142857142857,55,55,-0.004,-0.0004,0.08935840867988301,17.299999237060547,0.0028000000000000004,2.36
2011-02-03,10.487403869628906,22.705604730126435,22.880253343864123,25.029618027068402,393797600.0,14.029976835218958,33.642857142857146,54,55,-0.0005,-0.0004,0.05435967733581544,16.690000534057617,0.0029,2.35
2011-02-04,10.580845832824707,13.118000427728898,19.13428337063845,24.991259817341266,321840400.0,14.154977702775527,33.964285714285715,53,55,-0.0053,0.0006,1.547524571747425,15.930000305175781,0.0031,2.38
2011-02-07,10.745132446289062,14.660177105049597,21.6226165097822,25.008695583909347,485021600.0,14.374761677107283,34.92857142857143,52,55,0.0059,0.0025,1.8471975459671621,16.280000686645508,0.0031,2.36
2011-02-08,10.846514701843262,12.456233137805054,19.18736455332627,25.00496423450715,381040800.0,14.510386285175846,35.25,51,55,0.0,0.0022,1.474599025137942,15.8100004196167,0.0031,2.36
2011-02-09,10.93690299987793,10.32076422530339,19.69423444508262,24.999613223498795,482745200.0,14.631304533585258,35.57142857142857,50,55,-0.0008,-0.0018,1.9983106154606984,15.869999885559082,0.003,2.31
